Date : 2025-01-02 10:50:13
Directory : e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS
Total : 2471 files,  383036 codes, 136354 comments, 76833 blanks, all 596223 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C                  |        990 |    214,950 |     78,419 |     36,737 |    330,106 |
| C++                |        690 |    130,002 |     56,068 |     34,193 |    220,263 |
| YAML               |        540 |     15,147 |        480 |      1,908 |     17,535 |
| HTML               |         10 |      4,475 |         26 |        573 |      5,074 |
| CMake              |         99 |      4,093 |          0 |        938 |      5,031 |
| JSON               |         29 |      3,190 |          0 |         31 |      3,221 |
| Markdown           |         35 |      2,751 |          0 |      1,014 |      3,765 |
| XML                |          3 |      2,149 |        501 |        194 |      2,844 |
| ARM                |         29 |      1,999 |        401 |        517 |      2,917 |
| CSS                |          4 |      1,388 |         44 |        288 |      1,720 |
| Shell Script       |         17 |      1,264 |        320 |        243 |      1,827 |
| Groovy             |          1 |        706 |         50 |         65 |        821 |
| Diff               |          5 |        512 |         19 |         48 |        579 |
| JSON with Comments |          6 |         79 |          0 |          8 |         87 |
| Python             |          2 |         70 |          5 |         18 |         93 |
| Properties         |          1 |         60 |          0 |          1 |         61 |
| Ini                |          2 |         49 |          0 |          2 |         51 |
| Docker             |          3 |         48 |          0 |         18 |         66 |
| Go                 |          3 |         46 |          3 |         18 |         67 |
| Makefile           |          1 |         43 |         18 |         17 |         78 |
| Batch              |          1 |         15 |          0 |          2 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                |      2,471 |    383,036 |    136,354 |     76,833 |    596,223 |
| . (Files)                                                                                                                                                                                                                        |          2 |         67 |          0 |          1 |         68 |
| .cmsis                                                                                                                                                                                                                           |         30 |     29,778 |     12,806 |     10,945 |     53,529 |
| .cmsis\include                                                                                                                                                                                                                   |         30 |     29,778 |     12,806 |     10,945 |     53,529 |
| .eide                                                                                                                                                                                                                            |          3 |        339 |         13 |          4 |        356 |
| Objects                                                                                                                                                                                                                          |          4 |      4,387 |          0 |        564 |      4,951 |
| RTE                                                                                                                                                                                                                              |         30 |      8,494 |     10,116 |      1,751 |     20,361 |
| RTE\CMSIS                                                                                                                                                                                                                        |          2 |        167 |        226 |         82 |        475 |
| RTE\Device                                                                                                                                                                                                                       |         26 |      8,279 |      9,758 |      1,633 |     19,670 |
| RTE\Device\GD32F303VE                                                                                                                                                                                                            |         26 |      8,279 |      9,758 |      1,633 |     19,670 |
| RTE\USB                                                                                                                                                                                                                          |          1 |         21 |        122 |         29 |        172 |
| RTE\_Target_1                                                                                                                                                                                                                    |          1 |         27 |         10 |          7 |         44 |
| app                                                                                                                                                                                                                              |         44 |      5,946 |        698 |        971 |      7,615 |
| app\inc                                                                                                                                                                                                                          |         16 |      1,385 |        136 |        335 |      1,856 |
| app\picture                                                                                                                                                                                                                      |         14 |        345 |        115 |        202 |        662 |
| app\scr                                                                                                                                                                                                                          |         14 |      4,216 |        447 |        434 |      5,097 |
| dsp                                                                                                                                                                                                                              |      2,305 |    298,092 |     95,722 |     57,389 |    451,203 |
| dsp\Include                                                                                                                                                                                                                      |         47 |      7,782 |      7,561 |      2,636 |     17,979 |
| dsp\Include (Files)                                                                                                                                                                                                              |         14 |      1,778 |        934 |        734 |      3,446 |
| dsp\Include\dsp                                                                                                                                                                                                                  |         33 |      6,004 |      6,627 |      1,902 |     14,533 |
| dsp\PrivateInclude                                                                                                                                                                                                               |          3 |      1,807 |        150 |        157 |      2,114 |
| dsp\Source                                                                                                                                                                                                                       |        679 |    167,754 |     59,999 |     29,476 |    257,229 |
| dsp\Source (Files)                                                                                                                                                                                                               |          3 |        136 |         18 |         56 |        210 |
| dsp\Source\BasicMathFunctions                                                                                                                                                                                                    |         71 |      4,644 |      4,535 |      1,875 |     11,054 |
| dsp\Source\BayesFunctions                                                                                                                                                                                                        |          5 |        376 |        146 |        151 |        673 |
| dsp\Source\CommonTables                                                                                                                                                                                                          |          9 |     93,744 |      1,339 |        515 |     95,598 |
| dsp\Source\ComplexMathFunctions                                                                                                                                                                                                  |         31 |      2,949 |      2,059 |      1,132 |      6,140 |
| dsp\Source\ControllerFunctions                                                                                                                                                                                                   |         10 |        183 |        411 |        114 |        708 |
| dsp\Source\DistanceFunctions                                                                                                                                                                                                     |         39 |      2,188 |      1,934 |        916 |      5,038 |
| dsp\Source\FastMathFunctions                                                                                                                                                                                                     |         26 |      1,327 |      1,340 |        620 |      3,287 |
| dsp\Source\FilteringFunctions                                                                                                                                                                                                    |        119 |     21,924 |     17,343 |      9,505 |     48,772 |
| dsp\Source\InterpolationFunctions                                                                                                                                                                                                |         15 |        501 |        963 |        269 |      1,733 |
| dsp\Source\MatrixFunctions                                                                                                                                                                                                       |         69 |     12,837 |      6,917 |      4,515 |     24,269 |
| dsp\Source\QuaternionMathFunctions                                                                                                                                                                                               |         10 |        476 |        467 |        200 |      1,143 |
| dsp\Source\SVMFunctions                                                                                                                                                                                                          |         19 |      2,228 |      1,318 |        633 |      4,179 |
| dsp\Source\StatisticsFunctions                                                                                                                                                                                                   |         96 |      8,440 |      6,103 |      2,665 |     17,208 |
